Date,"Coal Richards Bay 4800kcal NAR fob, London close, USD/t","Coal Richards Bay 5500kcal NAR fob, London close, USD/t","Coal Richards Bay 5700kcal NAR fob, London close, USD/t","Coal Richards Bay 6000kcal NAR fob current week avg, No time stamp, USD/t","Coal India 5500kcal NAR cfr, London close, USD/t",Crude Oil_Price,Brent Oil_Price,Dubai Crude_Price,Dutch TTF_Price,Natural Gas_Price
2020-04-02,41.0,53.22,64.7,97.56,60.5,28.05,29.94,26.16,6.935,1.672
2020-04-03,40.34,52.36,63.1,70.57,62.03,30.9,34.11,29.39,6.92,1.738
2020-04-06,40.34,52.36,63.1,70.57,62.03,29.98,33.05,27.45,7.285,1.844
2020-04-07,40.34,52.36,63.1,70.57,62.03,28.69,31.87,26.0,7.285,1.949
2020-04-08,40.34,52.36,63.1,70.57,62.03,30.17,32.84,26.16,7.26,1.896
2020-04-09,33.82,43.58,54.81,59.57,54.74,28.82,31.48,23.26,7.28,1.863
2020-04-13,33.82,43.58,54.81,59.57,54.74,29.26,31.74,24.74,7.28,1.879
2020-04-14,33.82,43.58,54.81,59.57,54.74,27.4,29.6,21.96,6.875,1.826
2020-04-15,33.82,43.58,54.81,59.57,54.74,26.04,27.69,21.46,6.65,1.748
2020-04-16,33.82,43.58,54.81,59.57,54.74,25.53,27.82,21.71,6.905,1.845
2020-04-17,31.49,38.44,51.1,51.7,48.89,25.03,28.08,22.23,6.995,1.903
2020-04-20,31.49,38.44,51.1,51.7,48.89,20.43,25.57,21.47,6.62,2.049
2020-04-21,31.49,38.44,51.1,51.7,48.89,11.57,19.33,19.07,6.315,1.984
2020-04-22,31.49,38.44,51.1,51.7,48.89,20.69,20.37,20.0,6.225,2.053
2020-04-23,31.49,38.44,51.1,51.7,48.89,21.44,21.33,20.45,6.055,1.942
2020-04-24,26.75,34.56,44.69,44.53,41.81,21.22,21.44,20.45,5.77,1.895
2020-04-27,26.75,34.56,44.69,44.53,41.81,18.08,19.99,20.37,5.94,1.916
2020-04-28,26.75,34.56,44.69,44.53,41.81,17.6,20.46,20.41,6.145,1.948
2020-04-29,26.75,34.56,44.69,44.53,41.81,19.12,22.54,20.38,6.015,2.091
2020-04-30,26.75,34.56,44.69,44.53,41.81,21.85,25.27,20.39,6.22,2.17
2020-05-01,30.0,37.97,47.89,49.47,42.99,22.29,26.44,25.3,5.845,2.134
2020-05-04,30.0,37.97,47.89,49.47,42.99,22.78,27.2,26.2,5.74,2.23
2020-05-05,30.0,37.97,47.89,49.47,42.99,26.49,30.97,28.94,5.675,2.312
2020-05-06,30.0,37.97,47.89,49.47,42.99,25.62,29.72,27.35,5.765,2.171
2020-05-07,31.61,40.68,50.66,51.91,45.77,24.83,29.46,27.14,5.845,2.127
2020-05-08,31.61,40.68,50.66,51.91,45.77,26.17,30.97,28.54,5.83,2.077
2020-05-11,31.61,40.68,50.66,51.91,45.77,25.08,29.63,27.27,5.705,2.085
2020-05-12,31.61,40.68,50.66,51.91,45.77,26.33,29.98,26.81,5.315,1.965
2020-05-13,31.61,40.68,50.66,51.91,45.77,25.68,29.19,26.68,5.12,1.856
2020-05-14,31.61,40.68,50.66,51.91,45.77,27.88,31.13,29.2,5.265,1.884
2020-05-15,32.98,42.39,52.37,53.17,48.75,29.52,32.5,29.8,5.22,1.833
2020-05-18,32.98,42.39,52.37,53.17,48.75,31.65,34.81,30.55,4.92,1.959
2020-05-19,32.98,42.39,52.37,53.17,48.75,31.96,34.65,30.42,4.61,1.985
2020-05-20,32.98,42.39,52.37,53.17,48.75,33.94,35.75,30.57,4.46,1.909
2020-05-21,32.98,42.39,52.37,53.17,48.75,34.34,36.06,30.62,3.825,1.852
2020-05-22,33.86,42.98,52.33,54.93,50.16,33.65,35.13,30.34,3.89,1.881
2020-05-26,33.86,42.98,52.33,54.93,50.16,34.77,36.17,30.59,4.125,1.945
2020-05-27,33.86,42.98,52.33,54.93,50.16,33.23,34.74,30.43,3.695,1.886
2020-05-28,33.86,42.98,52.33,54.93,50.16,34.06,35.29,30.51,3.51,1.919
2020-05-29,34.53,43.62,53.26,55.27,50.96,35.84,35.33,30.47,4.385,1.94
